"business_id","name","address","city","state","postal_code","latitude","longitude","phone_number"
"061DBBC8-951E-4450-FE2D44BF5214156E","NET APP CAFE BLDG3","7301 KIT CREEK  RD ","RTP","NC","27709","","",""
"0686332A-1422-201B-1921E27F28651CDF","Subway #41217","8410-140 Louisburg RD ","RALEIGH","NC","27616","","","19192660300"
"079E6726-EAF9-7770-92537BA708A7D696","Pat Murnane's Irish Pub","2101 S Main  ST ","WAKE FOREST ","NC","27587","","","19195625570"
"082054EE-036C-19FC-4F864F10D111D508","TGI Friday's","2002 Kildaire Farm RD ","CARY","NC","27511","","","19192338883"
"087D3E93-D57B-FAA4-E8C47A3916C49EDA","The Grille At Goodnight's & Goodnight's Comedy Club","861 W Morgan ST ","RALEIGH","NC","27603","","","111111111111111"
"08A5D2BA-3048-9838-FC96F889B762BA98","Rush Lounge","7361 SIX FORKS RD ","RALEIGH","NC","27615","","","19198484782"
"08B080BE-95E8-63F4-3A3FB5E8F57CEE9F","Carillon Assisted Living of Knightdale Dining","2408  HODGE RD ","KNIGHTDALE","NC","27545","","","19192666676"
"08FB1466-DF49-AD63-9BAD02404B09A9C0","SUBWAY #50592","601 N MAIN ST ","HOLLY SPRINGS","NC","27545","","","19195574411"
"09001E9C-D5DC-8D29-3B8577684E81ADD8","ANZIO'S PIZZA","252 SOUTHTOWN CIR ","ROLESVILLE","NC","27571","","","19195548881"
"08B080BE-95E8-63F4-3A3FB5E8F57CEE9F","Carillon Assisted Living of Knightdale Dining","2408  HODGE RD ","KNIGHTDALE","NC","27545","","","19192666676"
"08BE77F0-BD78-5B44-23A13EBF2F5FB0C4","PIEBIRD","618 N PERSON ST ","RALEIGH","NC","27604","","","19195087612"
"08C8DB62-F40E-0251-F00B00951468069F","SAS BUILDING C CAFE","820 SAS CAMPUS DR ","CARY","NC","27513","","","19195318651"
"08FB1466-DF49-AD63-9BAD02404B09A9C0","SUBWAY #50592","601 N MAIN ST ","HOLLY SPRINGS","NC","27545","","","19195574411"
"0955966E-B707-AD2C-284027D6708858FD","El Tapatio #4","4511 New Bern AVE","RALEIGH","NC","27610","","","19192559161"
"09CD5F39-BB6A-3A29-5521E52514E45641","Red Dragon","4051 Davis DR","MORRISVILLE","NC","27560","","","19193881836"
"0A13BA57-C174-0E85-6B07EA03485E77D6","ACRO CAFE","11 W JONES ST ","RALEIGH","NC","27601","","","19197337450"
"0B8CAD6F-9F39-6789-01B377329CF62C1A","MoonRunners Saloon","1506 US 70 HWY W ","GARNER","NC","27529","","","19196625119"
"0C5157D2-CADC-8E92-01BEB1637A2B053F","Keith's BBQ and Catering","13037 Keith Store  RD ","WAKE FOREST","NC","27587","","","19196186211"
"0D049F23-D914-645B-5BBE16D45F81FC73","TENKO JAPAN","6325 FALLS OF NEUSE  RD ","RALEIGH","NC","27615","","","19198764545"
"0D17A191-EA58-02A6-1C12593EEF72A0B7","Pruitt Health - Raleigh Dining","2420 Lake Wheeler RD","RALEIGH","NC","27603","","","19197550226"
"0D71A75D-D665-A0EF-807BCD025AE2BAEC","BISCUITVILLE #184","4305 FAYETTEVILLE RD ","GARNER","NC","27529","","","19198038112"
"0D86CC38-90AB-504B-CFE662D40469FA11","Zoes Kitchen","1028 OBERLIN RD ","RALEIGH","NC","27605","","","19198380909"
"0F4A8769-E8E3-7D8E-4F40C8675263904D","THE LATIN CORNER","421 CHAPANOKE RD ","RALEIGH","NC","27603","","","19192648584"
"0F4A8769-E8E3-7D8E-4F40C8675263904D","THE LATIN CORNER","421 CHAPANOKE RD ","RALEIGH","NC","27603","","","19192648584"
"0F7B6ECB-A771-FCF4-C152187E370E220E","Crazy Fire Mongolian Grill #8","7201 Old Wake Forest RD ","RALEIGH","NC","27616","","","19198769000"
"0F8E60EF-FA47-2FA8-36EBB349C4007C6F","FIREWURST","823 BASS PRO  LN ","RALEIGH","NC","27513","","","19192340822"
"0FCF1A50-B262-BB45-84CBD85EF5804DB5","Shuck'em Shack","1177 TIMBER DR E ","GARNER","NC","27529","","","19197727035"
"0FCF1A50-B262-BB45-84CBD85EF5804DB5","Shuck'em Shack","1177 TIMBER DR E ","GARNER","NC","27529","","","19197727035"
"102567C8-158A-D963-9E3C131A45EECF63","Arby's #6554","1031 Harrison AVE ","CARY","NC","27513","","","19194691887"
"10260","ROLY POLY","201  E HARGETT ST ","RALEIGH","NC","27601","","","111111111111111"
"102BD5D6-9918-1501-C0F310627A616BAB","GOLDEN CHINA CHINESE RESTAURANT","2432 SW CARY PKY ","CARY","NC","27513","","","19193807891"
"10B98070-D0B7-842B-F98616B45457ED55","HWY 55 BURGERS SHAKES & FRIES","3421 N MAIN ST ","FUQUAY VARINA","NC","27526","","","111111111111111"
"10CCCF7C-1447-1195-3E3A106F4313A94F","RED BOWL ASIAN BISTRO","2020 BOULDERSTONE WAY ","CARY","NC","27519","","","19193889977"
"110FC29B-C6B5-2C82-4A376391A25D5009","CASE DINING HALL","240 JETER DR ","RALEIGH","NC","27695","","","19195152100"
"11634540-F152-1361-31141526242A1DF3","Jumbo China","13200-121 New Falls of Neuse RD ","RALEIGH","NC","27614","","","19198618858"
